Time (Unix),Time (yyyy-mm-dd hh:mm:ss),Value
1717684800,2024-06-06 14:40:00,0.129412299
1717684860,2024-06-06 14:41:00,0.141056292
1717684920,2024-06-06 14:42:00,0.136518038
1717684980,2024-06-06 14:43:00,0.13787618
1717685040,2024-06-06 14:44:00,0.144867589
1717685100,2024-06-06 14:45:00,0.13162305
1717685160,2024-06-06 14:46:00,0.136498434
1717685220,2024-06-06 14:47:00,0.123318767
1717685280,2024-06-06 14:48:00,0.118256421
1717685340,2024-06-06 14:49:00,0.104965336
1717685400,2024-06-06 14:50:00,0.082921718
1717685460,2024-06-06 14:51:00,0.054000688
1717685520,2024-06-06 14:52:00,0.023148021
1717685580,2024-06-06 14:53:00,-0.004877836
1717685640,2024-06-06 14:54:00,-0.017606038
1717685700,2024-06-06 14:55:00,-0.026579917
1717685760,2024-06-06 14:56:00,-0.029718086
1717685820,2024-06-06 14:57:00,-0.006709892
1717685880,2024-06-06 14:58:00,-0.005175724
1717685940,2024-06-06 14:59:00,0.009391225
1717686000,2024-06-06 15:00:00,0.013589362
1717686060,2024-06-06 15:01:00,0.008666656
1717686120,2024-06-06 15:02:00,0.013964631
1717686180,2024-06-06 15:03:00,0.031118718
1717686240,2024-06-06 15:04:00,0.039664869
1717686300,2024-06-06 15:05:00,0.071986043
1717686360,2024-06-06 15:06:00,0.102870313
1717686420,2024-06-06 15:07:00,0.128288242
1717686480,2024-06-06 15:08:00,0.146740599
1717686540,2024-06-06 15:09:00,0.167534433
1717686600,2024-06-06 15:10:00,0.179491604
1717686660,2024-06-06 15:11:00,0.191313414
1717686720,2024-06-06 15:12:00,0.21304146
1717686780,2024-06-06 15:13:00,0.212488317
1717686840,2024-06-06 15:14:00,0.206434563
1717686900,2024-06-06 15:15:00,0.201724248
1717686960,2024-06-06 15:16:00,0.192552072
1717687020,2024-06-06 15:17:00,0.175992082
1717687080,2024-06-06 15:18:00,0.165000727
1717687140,2024-06-06 15:19:00,0.155705498
1717687200,2024-06-06 15:20:00,0.149440512
1717687260,2024-06-06 15:21:00,0.147655232
1717687320,2024-06-06 15:22:00,0.140146477
1717687380,2024-06-06 15:23:00,0.128270997
1717687440,2024-06-06 15:24:00,0.110556921
1717687500,2024-06-06 15:25:00,0.096391682
1717687560,2024-06-06 15:26:00,0.073425849
1717687620,2024-06-06 15:27:00,0.072153748
1717687680,2024-06-06 15:28:00,0.082292657
1717687740,2024-06-06 15:29:00,0.084504137
1717687800,2024-06-06 15:30:00,0.086079466
1717687860,2024-06-06 15:31:00,0.103483733
1717687920,2024-06-06 15:32:00,0.10117444
1717687980,2024-06-06 15:33:00,0.110265742
1717688040,2024-06-06 15:34:00,0.121660172
1717688100,2024-06-06 15:35:00,0.130740593
1717688160,2024-06-06 15:36:00,0.145969519
1717688220,2024-06-06 15:37:00,0.166847231
1717688280,2024-06-06 15:38:00,0.192231794
1717688340,2024-06-06 15:39:00,0.206395406
1717688400,2024-06-06 15:40:00,0.229044442
1717688460,2024-06-06 15:41:00,0.236202012
1717688520,2024-06-06 15:42:00,0.24790094
1717688580,2024-06-06 15:43:00,0.247859919
1717688640,2024-06-06 15:44:00,0.248186071
1717688700,2024-06-06 15:45:00,0.233041192
1717688760,2024-06-06 15:46:00,0.221918097
1717688820,2024-06-06 15:47:00,0.209477859
1717688880,2024-06-06 15:48:00,0.185840888
1717688940,2024-06-06 15:49:00,0.166017723
1717689000,2024-06-06 15:50:00,0.153803931
1717689060,2024-06-06 15:51:00,0.13850932
1717689120,2024-06-06 15:52:00,0.125633948
1717689180,2024-06-06 15:53:00,0.124477074
1717689240,2024-06-06 15:54:00,0.122949869
1717689300,2024-06-06 15:55:00,0.123543087
1717689360,2024-06-06 15:56:00,0.126588564
1717689420,2024-06-06 15:57:00,0.139497828
1717689480,2024-06-06 15:58:00,0.147232462
1717689540,2024-06-06 15:59:00,0.156871478
1717689600,2024-06-06 16:00:00,0.157251088
1717689660,2024-06-06 16:01:00,0.158628264
1717689720,2024-06-06 16:02:00,0.157540544
1717689780,2024-06-06 16:03:00,0.15537164
1717689840,2024-06-06 16:04:00,0.146636782
1717689900,2024-06-06 16:05:00,0.147694808
1717689960,2024-06-06 16:06:00,0.148436055
1717690020,2024-06-06 16:07:00,0.140943459
1717690080,2024-06-06 16:08:00,0.129239078
